timestamp_utc,session_elapsed_ms,profile_id,session_id,vehicle_slug,abs_load,abs_throttle_b,ambient_temp,barometric,coolant_temp,engine_load,fuel_pressure_meas,fuel_rail_pressure,fuel_system_status,fuel_type,iat,intake_map,maf,odometer,rel_throttle,rpm,run_time,speed,throttle_actuator_cmd,throttle_pos,timing_advance,mg1_torque,mg2_torque,mgr_torque,battery_temp_1,battery_temp_2,battery_temp_3,battery_temp_4,hv_voltage,abs_evap_pressure,afr_command,cat_temp_b1s1,cat_temp_b1s2,cat_temp_b2s1,cat_temp_b2s2,egr_command,evap_purge_cmd,evap_vapor_pressure,ltft_b1,ltft_b1b3_o2,ltft_b2b4_o2,o2_b1s2,stft_b1,stft_b1b3_o2,stft_b2b4_o2,control_module_v,distance_since_clear,distance_with_mil,monitor_status,obd_standard,time_mil_on,time_since_clear,warmups_since_clear
2026-05-03T07:55:45.217Z,38,lexus-rx450hl-2020,2z6wg3dj,2020-lexus-rx,0,48.235,36,99,,,,,0,1,36,100,0.01,,0,0,176,0,16.078,16.078,5,0,0,0,,,,,,,,371,110.5,371,110.5,0,0,24801,-0.781,0,0,0,0,0,0,14.394,65535,,,1,,,255
2026-05-03T07:55:48.272Z,3093,lexus-rx450hl-2020,2z6wg3dj,2020-lexus-rx,0,47.843,36,99,,,,,,1,36,100,0.01,,0,0,179,0,16.078,16.078,,0,0,0,,,,,,,,,,,110,0,0,24801,-0.781,0,0,0,0,0,0,14.375,65535,,,,,,
2026-05-03T07:55:51.197Z,6019,lexus-rx450hl-2020,2z6wg3dj,2020-lexus-rx,0,47.843,36,99,,,,,,1,36,100,0.01,,0,0,182,0,16.078,16.078,5,-2432,-4096,,,,,,,,,367.6,,,109.6,0,0,24801,-0.781,0,0,0,0,0,0,14.375,65535,0,0,,,65535,
2026-05-03T07:55:54.110Z,8932,lexus-rx450hl-2020,2z6wg3dj,2020-lexus-rx,0,48.235,36,99,,0,,,,1,,,0.01,,0,0,185,0,16.078,16.078,5,0,0,,,,,,,100.03,0.941,366,109.2,366,109.2,,,24801,,,0,0,0,0,0,14.375,65535,0,0,1,0,65535,255
2026-05-03T07:55:56.763Z,11585,lexus-rx450hl-2020,2z6wg3dj,2020-lexus-rx,17.255,49.804,36,99,,65.098,,,0,1,36,49,7.6,,0,1500,,,,,20.5,663.5,0,0,,,,,,100.03,1,367.5,110,367.5,110,0,0,24801,-0.781,0,0,0,1.563,0,0,,,,,1,0,65535,255
2026-05-03T07:55:59.330Z,14152,lexus-rx450hl-2020,2z6wg3dj,2020-lexus-rx,14.118,49.804,33,99,,30.98,,,,1,33,28,7.17,,0,1504.5,190,0,17.255,17.255,19.5,685.5,,,,,,,,100.005,1,372.4,112.9,375,114.8,,,24801,-0.781,0,0,0,15.625,0,0,14.335,65535,0,0,1,0,65535,255
2026-05-03T07:56:01.895Z,16717,lexus-rx450hl-2020,2z6wg3dj,2020-lexus-rx,13.333,49.804,31,99,,30.196,,,0,1,31,28,7.2,,0,1509.25,193,,,17.255,20.5,564.75,0,0,,,,,,100.03,,,118.9,380.3,118.9,0,0,24801,-0.781,0,0,0,13.281,0,0,14.335,,,0,1,,,
2026-05-03T07:56:04.459Z,19281,lexus-rx450hl-2020,2z6wg3dj,2020-lexus-rx,14.902,47.843,31,99,,,,,,1,31,,,,0,900.75,195,0,14.118,13.725,17,-0.125,-0.125,,,,,,,100.03,0.892,384.8,122.9,384.8,122.9,0,,,-0.781,0,,,,0,0,14.375,65535,0,0,1,0,65535,255
2026-05-03T07:56:06.890Z,21712,lexus-rx450hl-2020,2z6wg3dj,2020-lexus-rx,0,47.843,31,99,,0,,,0,1,31,100,0.14,,0,0,,,16.078,16.078,,0,0,0,,,,,,,0.941,385,124,385,124,0,0,24801,-0.781,0,0,0,0,0,,,65535,0,,,0,65535,255
2026-05-03T07:56:09.605Z,24426,lexus-rx450hl-2020,2z6wg3dj,2020-lexus-rx,0,47.843,,,,0,,,,,33,100,0.01,,0,0,200,0,16.078,16.078,5,,,0,,,,,,100.03,0.939,383.8,123.7,,,0,,,,0,0,0,0,0,0,14.375,65535,0,0,1,0,65535,255
